workerid	score
A29VL3MZE7YPBZ	6221
A3G00Q5JV2BE5G	6322
A36VA1TSX3RYED	6321
A18TXM6GMU1411	5312
A27PVIL93ZMY46	6221
A2TF8IP4PM7KAO	6341
A21753FQKCM5DQ	5322
A3G0T5Y7OSC76S	6421
A2KCG73A6QCNCW	6322
A341LHR7178BUY	6221
A1JTOUQAD12LQR	6322
A1F63RK1PMJS5Y	6221
A3KCUB6P3IE8NL	6222
A8QNPF8ASC5VC	6422
A13T61GJTR2Y9B	6232
A2OXXHGAM7B0Y	6422
A2RMJNF6IPI42F	6321
A2VWG0L5JHOBWN	6322
A37LY5UTJV2KYZ	6222
A2DWQF4ZHHBLOW	6432
A1CUTEZJIWM0UU	6222
AZGV0WGL7XMX7	6221
AVC62JNYAXA45	6211
A39YBLQYIUBR76	5232
A166A2M31CW2C7	6222
A2YTOX7SEDJ1TC	6221
A1ETJBNTO9ZWZ8	6232
A3QY3I5O0STFGA	5222
A3A69FI0KKHXEG	6321
A646R8SV0S04Y	6322
A3O81LHBBI8NPK	6321
AKLV0WIZZ356X	6231
A9QYAH5BONH1W	6332
A36T3XYC4WBLNK	6222
A3C6BPE5UJ9EHR	6322
AC7VPTC0JQLWL	6351
AR7DGMRC1N0AV	6221
A36PAQLWZIRY2P	5331
A2WGW5Y3ZFBDEC	6332
A1QD0XE25CXJ2A	6322
A2BLIB4GCCK3J5	6322
A2RRU9WGFBPA3J	5221
A1F8RKCA3O05CP	6221
A3DJSZ7KSUZRV0	6322
A2QD7QFGCUNF5N	5322
A3PPCEDYR2EB22	5351
A1LX3YP9PCKI72	6222
ACXR9CVS59T23	5322
ABHQC7XW26J5P	6222
A2ILH54I3ZGRW4	6322
AL3UGBNTPA0I7	6221
A2RRDATXKQ8HHC	6322
A2C73Y1COWCA51	6222
A1T8EFHGSEE3RD	6321
AXYKTP0YCYJB9	5322
ADJ9I7ZBFYFH7	6222
A3O9VWYB0F4RJ4	6321
AD7CUW86FWEKT	5222
A340DZFTU1OSQQ	5222
A9JHTV37LSE5F	6222
A35FHY70T3PL8I	6322
A4W9APAHFWVLO	5322
A2AAY4VT9L71SY	6222
AVXEDARJC5HLU	6232
A1XAOEDK0Y2KBT	6332
A4SC8G0149GEG	6322
A1TEQTP52NS7D1	6322
A2ML40J7NKUQ5D	5322
A1VF3WAZ8YS8K2	6221
A1EV66QWCULDE5	6321
A2XFO0X6RCS98M	5222
A198SS8SV0LWKB	6322
A1Z7WT01G55LDC	6321
AZM3UDQWDBICM	5322
A1PI3EYSKGK1L6	5322
A1WXGV56U8S8OG	5222
A2LJAWY0LUIMN1	5311
A2MOSNEX4E7G1P	5221
A1T2VMIY43RTHI	5222
A1G05E56YKEM10	5422
A30LWF91IUAVSO	5322
A73ITJ4GZGQBI	5321
A1LJKHC0NH9TIX	6231
AAXYYH9MI3PJM	6322
AHPOH7GFQK14J	6322
A2OLVF6P86QSQJ	6422
A1NQWTNVPGU1ZV	6322
A98C7U6G8QI4H	5322
AC5LU9TF9CTK9	5251
A1LZWU72K42V92	5232
A3VID10OBZ6FUG	6321
A1B9Y0HDINSM1H	6431
A1OBWGLS5LRLT3	6322
A1OY40VC86UZZ5	6321
A1TH8X83SGT5ZE	6322
A150Q29JQZOY3V	5322
A34DWBBWZRLO1X	5341
A30ZBG4SIBCC2A	6322
A2CCK1JKX48R0H	6321
A167HNWLG22UFD	5222
A4J4GGMKJ68L0	6322
A3O9E7SFME6EHN	6222
AVX3SWFMBEPMZ	5332
A1IA4CST74I1Q8	6222
A2ENYOW9BFZWZ8	5322
ARJCTIBIT3OJ8	5321
A3OQAXU3STYCI9	6322
A3GK90X2QOFR53	6322
A3HLCR4YCHJWBI	6322
A27IABVBUZ9X8Z	6331
A1SCPXEIA8EYT5	6331
AXMPSUNKUBEIL	6222
A2WCDQDLMC6J72	6322
A14HW8I4RYHNC4	6322
A2KD1OZMH8ERI7	6231
A2N701P8CHDKTT	6222
AN6WT1D6EQ8V5	6321
AD8ZUKPJT9E6	6322
A2QLSHXNCHBRN4	6222
A2ZHN45QR1Y8E4	5432
A1C57DJF1HCR3Q	5221
A2SG52VOQKJL2P	5331
A3LMBJQC7MT34	5322
A1SE65F2EN67HH	6331
A3JG1P42AS7WKH	6321
A130X6CF795CQ5	6322
A1EWMKZ5RJ9UC4	6322
A32CMQGGTSUK6Z	6322
A3F6SDO4GYBE4Y	6221
A3HNZ3N2UHONVN	5322
A1WR2AKX164FZO	5221
A320QA9HJFUOZO	6322
A2AQMDKQTAYMVS	5322
A1I0W3CT6R2DMV	6221
A1421I54656YSD	6232
A2IW3WDQCUOMWU	5421
A2LT6KC1X51FVW	6222
A3LI0O659I8GFX	6322
A15OBQS0LO4EI1	6341
A12SMSQ6D5227J	5321
A1PJLZSOUQ4MIL	6231
A36MTY8RSWBZU7	5241
A298ZDGYSPP6YR	6432
ALEJV7D94ZLHF	5022
A3LL7GWVECNK4V	5222
A18TCR555RWUZV	5322
A2S96ZZ70YFPSK	5331
A5LLSZG8YCAZF	6221
A2T5CROJ0FWIJY	6321
A20ALQT1HIVSAH	5331
A2YGGVU3OVARQ4	6322
A2D0XTJ0PI40QY	6332
AS9E0S6DBSWH7	5322
A3B2H4HGSP6JCF	6322
A29374NDYXSCWB	6222
AMZYIIE52MXZN	6322
A1GXPNXDLMT0QB	6322
A2KPT0PEUEXCC4	6232
A2QQFGD7K7AHK8	6322
A2R2L2GA314OEI	6222
A1XUZFDVKP95VC	6322
AYOA4FYI30AKI	6222
AT116456PANMW	6231
A23O7BIKKPOZ2L	5222
A3QSJY1FFN0N6V	5221
A38EHOL0U2BTV0	6322
A3T021IZ1409ZH	6322
A3TN3GQAO61BVB	5332
A3MZ9RQJX9T656	6221
A1OGJ58N1MZVS6	6232
ADVIE0ZHLWDDH	6221
A18WRW8BXFJT7U	6221
A33RTACPBWATZ	6222
AIQB7XXL5K2FR	6321
AHKOZVL0KZKAB	6331
